bottle_text,consumed,purchased,score,year,importer,producer,country,region,size,wine_type,grapes,cost,store,location,notes
Dinavolino,5/29/2015,2/23/2015,8.5,2012,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$24.00,Arrowine and Spirits,"Foggy Bottom, DC","Bracing, tangy, with great funk and some really present orange fruit and rind. "
"Lioco
Indica",5/30/2015,5/22/2015,7.5,2014,,Lioco,USA,"Santa Rosa, CA",750ml,Pink,100% Carignan,$20.00,Arrowine and Spirits,"Foggy Bottom, DC",I thought this would be more fruity; it's rather dry and the berry flavors take time to come out.
"Sancerre
Terre de Maimbray 2014",6/5/2015,5/31/2015,7.5,2014,Weygant-Metzler,Reverdy,France,Loire,750ml,Pink,100% Pinot Noir,$30.00,Gift from Will and Lizzie,Gift from Will and Lizzie,Excellent bone-dry fruit and a gracious pinch of acid. Pretty copper-pink color.
"Coll del Sabater
2006",6/7/2015,3/29/2015,7.5,2006,Vin de Terra Imports,Celler Escoda-Sanahuja,Spain,Catalonia,750ml,Red,"85% Cabernet Franc
15% Merlot",$30.00,Cork Wine Store,"14th Street, DC","Bramble berry fruit but with plenty of earth. Very light tannins, though more came through as the wine warmed. Reminds of a Sangiovese or a non-oaky Jumilla?"
"Croix Picot
2010
Savennieres",6/13/2015,4/19/2015,8.0,2012,Rosenthal Wine Merchants,Chateau de L'Eperonniere,France,Anjou,750ml,White,100% Chenin Blanc,$25.00,Southern Season,"Raleigh, NC","This is such a great wine. Dark honey, burnt wax, some good citrus peel combined with a superb flinty mineral undercurrent."
"Poemas
Cava
Penedes",7/1/2015,5/31/2015,6.5,NV,Kobrand,Poema,Spain,Penedes,750ml,Sparkling,100% Trepat,$12.00,Batch 13 Spirits,"14th Street, DC",
"Schafer-Frohlich
2014
Blanc de Noir
trocken",7/2/2015,6/18/2015,7.5,2014,Cellars International Inc.,Schafer-Frohlich,Germany,Nahe,750ml,White,100% Pinot noir,$25.00,Arrowine and Spirits,"Foggy Bottom, DC",
"Ganeta
Rose",7/5/2015,5/22/2015,7.5,2014,Tradewinds Specialty Imports,Ganeta,Spain,Getaria,750ml,Pink,"Hondarribi Zuir
Hondarribi Beltza",$20.00,Arrowine and Spirits,"Foggy Bottom, DC",
"Pullus
Pinot Grigio",7/6/2015,3/15/2015,7.5,2012,Vinum USA,Pullus,Slovenia,Stajerska,750ml,White,100% Pinot Grigio,$22.00,Gift from Jacob Sanders,Gift from Jacob Sanders,
"Chateau Soucherie
Cuvee L'Astree
Rose de Loire",7/6/2015,6/14/2015,7.5,2014,Rosenthal Wine Merchants,Chateau Soucherie,France,Anjou,750ml,Pink,"70% Grolleau
30% Gamay",$18.00,Cork Wine Store,"14th Street, DC",
"Pignoletto
Frizzante
Col Fondo
Alberto
Tedeschi",7/9/2015,4/19/2015,8.0,2010,Louis/Dressner Selections,Alberto Tedeschi,Italy,Emilia Romania,750ml,Sparkling,100% Pignoletto,$18.00,Southern Season,"Raleigh, NC",
"Ageno
2009
La Stoppa",7/10/2015,5/9/2015,9.0,2009,Louis/Dressner Selections,La Stoppa,Italy,Emilia Romania,750ml,Orange,"33% Malvasia di Candida
33% Ortrugo
33% Trebbiano",$40.00,Eataly Wine Store,"Flatiron, NYC","Dark like a sunset, full of candied citrus fruit and thick, welling acid before smoothing out into a wonderful touch of oxidized nutty bits."
"Falernia
Pedro Ximenez
2013
Riserva",8/7/2015,5/8/2015,6.0,2013,Meadowbank Estates,Vina Falernia,Chile,Valle de Elqui,750ml,White,100% Pedro Ximenez,$13.00,Cork Wine Store,"14th Street, DC",Makes a wonderful white wine cocktail.
"2014
Domaine de Villargeau",8/19/2015,6/14/2015,7.5,2014,Potomac Selections,Domaine de Villargeau,France,Loire,750ml,White,100% Sauvignon blanc,$20.00,Cork Wine Store,"14th Street, DC",
Dinavolino,8/20/2015,2/23/2015,8.0,2012,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$24.00,Arrowine and Spirits,"Foggy Bottom, DC",This wine is literally made for my taste buds. I cannot imagine something that would give me more joy except perhaps a mid-90s Savagnin or something.
"Muskadig
Breizh",8/24/2015,8/21/2015,8.0,2014,"Fruit of the Vines, Inc.",Haut Planty,France,Loire,750ml,White,100% Melon de Bourgogne,$18.00,Passage de la Fleur,"Brooklyn, NY",Cloudy with straw and green-yellow hints.  Very saline and sour on the nose with plenty of funky. Very sour first taste that sharpens into some fruit and believe it or not a ltitle bit of earthy rocks at the end.
"Les Dolomies
Cotes du Jura
Les Combes",9/4/2015,8/21/2015,8.5,2012,Terrell Wines,Les Dolomies,France,Jura,750ml,White,100% Chardonnay,$27.00,Passage de la Fleur,"Brooklyn, NY","Clean and clear, but haavy with stone fruit initially followed by wet gravel and then a touch of lees-like heft."
"Scubla
Ribolla & Malvasia
Lo Speziale Biano",9/8/2015,6/14/2015,6.5,2011,Vinifera Imports,Roberto Scubla,Italy,Friuli,750ml,White,"45% Ribolla gialla
45% Malvasia
10% Friuliano",$21.00,Batch 13 Spirits,"14th Street, DC","Clear, light, a touch floral, and pretty boring. No skin contact; just a plain old white wine with very ligtht acidity and wanting for more body from these fabulous grapes."
"Clos du Canalet
Pays d'Oc",9/10/2015,8/9/2015,7.0,2014,Vignobles LVDH,Clos du Canalet,France,Pays d'Oc,750ml,Pink,"Grenache
Syrah
Cinsault",$12.00,Batch 13 Spirits,"14th Street, DC","The last rose until March. I'll miss you, old friend."
"Selvadolce
Rucantu
Pigato",9/11/2015,8/22/2015,8.0,2009,Williams Corner Wine,Tenuta Selvadolce,Italy,Liguria,750ml,White,100% Pigato,$19.00,MacArthur Wine,"Palisades, DC","Orange and a bit murky, first taste is lemon peel and orange pith followed by a touch of nutty oxidation. After a few sips, the oxidative character is very easy to taste. After that, it's almost saline."
"Domaine du Salvard
Cheverny
2014",9/15/2015,6/6/2015,8.0,2014,Kermit Lynch,Domaine du Salvard,France,Loire,750ml,White,"85% Sauvignon blanc
15% Chardonnay",$16.00,Batch 13 Spirits,"14th Street, DC","Clear and bright, with excellent mineral and buckets of stone fruit."
Herbel,9/20/2015,8/21/2015,8.0,NV,Terrell Wines,Les Vignes Herbel,France,Loire,750ml,White,100% Chanin Blanc,$18.00,Passage de la Fleur,"Brooklyn, NY","Nutty and sharp, citrus rind, gravel and melon."
"2010 Rikatsitelli
""Our Wine""
Vineyard Akhoebi",9/24/2015,4/4/2015,7.5,2010,Terrell Wines,Our Wine,Georgia,Kakheti,750ml,Orange,"90% Rkatsiteli
6% Mtsvane
4% Khikhvi",$22.00,Batch 13 Spirits,"14th Street, DC","A bit harsher than my usual orange obsessions, it's still nicely chewy, with tons of moldy leaf pile, citrus pith and dry hay."
"2010
Domaine de Montbourgeau
l'Etoile",9/24/2015,4/19/2015,8.0,2010,Rosenthal Wine Merchants,Domaine de Montbourgeau,France,Jura,750ml,White,"95% Chardonnay
5% Savagnin",$25.00,Southern Season,"Raleigh, NC",Wonderfully waxy but with a light yeasty nuttiness near the finish.
"La Coudraie
2004",10/2/2015,8/21/2015,8.0,2004,"Fruit of the Vines, Inc.",Lemaire Fournier,France,Loire,750ml,White,100% Chenin Blanc,$20.00,Passage de la Fleur,"Brooklyn, NY","Fantastically rich and almost oily. Heay, heavy stone fruit and a thick almost concrete mineral cheracter."
"Vendange 2000
Chateau D'Arlay
Bouteille no 0000 sur 2800",,2/1/2008,,2000,"Wines of France, Inc.",Chateau D'Arlay,France,Arlay,375ml,Dessert,"Trousseau
Poulsard
Chardonnay
Savagnin",$35.00,The Wine Bottega,"Boston, MA",
"12 Year Old Port
Collector's Edition
125th Anniversary",,10/8/2010,,1998,,V. Sattui,USA,"St. Helena, CA",750ml,Dessert,"Tinta Cão
Souzão
Touriga Nacional",$42.00,V. Sattui Winery,"St. Helena, CA",
"Orgo
Rkatsiteli
2012",,11/26/2014,,2012,Georgian House of Greater Beltsville,Orgo,Georgia,Kakheti,750ml,Orange,100% Rkatsiteli,$20.00,Batch 13 Spirits,"Logan Circle, DC",
"Alto Adige
Lagrein
Muri-Gries",,12/4/2014,,2012,Potomac Selections,Muri-Gries,Italy,Alto Adige,750ml,Red,100% Lagrein,$22.00,Arrowine and Spirits,"Foggy Bottom, DC",
Dinavolino,,2/10/2015,,2010,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$23.00,Passage de la Fleur,"Prospect Heights, Brooklyn",
"Radikon
Jakot",,3/15/2015,,2007,Louis/Dressner Selections,Radikon,Italy,Friuli,500ml,Orange,100% Friulano,$45.00,Gift from Jacob Sanders,Gift from Jacob Sanders,
"2008
Arbois
Savagnin
Jacques Puffeney",,4/19/2015,,2008,Rosenthal Wine Merchants,Jacques Puffeney,France,Jura,750ml,White,100% Savagnin,$36.00,Southern Season,"Raleigh, NC",
"2010
Domaine de Montbourgeau
l'Etoile",,4/19/2015,,2010,Rosenthal Wine Merchants,Domaine de Montbourgeau,France,Jura,750ml,White,"95% Chardonnay
5% Savagnin",$25.00,Southern Season,"Raleigh, NC",
"2013 Rkatsiteli
Our Wine
Vineyard Tsarapi",,4/26/2015,,2013,Georgian House of Greater Beltsville,Our Wine,Georgia,Kakheti,750ml,Orange,100% Rkatsiteli,$27.00,Batch 13 Spirits,"14th Street, DC",
"Alvear
Solera 1927
Pedro Ximenez",,5/31/2015,,NV,The Country Vintner,Alvear,Spain,Montilla Morilles,375ml,Sherry,100% Pedro Ximenez,$30.00,Gift from Will and Lizzie,Gift from Will and Lizzie,
"Kondoli
Mtsvane-Kisi
2010
Marani",,8/9/2015,,2010,Corus LLC,Marani,Georgia,Kakheti,750ml,Orange,"50% Mtsvane
50% Kisi",$15.00,Batch 13 Spirits,"14th Street, DC",
"I've got the Blouge
La Grange aux Belles",,8/21/2015,,2013,"Fruit of the Vines, Inc.",La Grange aux Belles,France,Anjou,750ml,Orange,100% Sauvignon Blanc,$30.00,Passage de la Fleur,"Brooklyn, NY",
"Orsi
Pignoletto Frizzante",,8/22/2015,,2011,Williams Corner Wine,Vigneto San Vito,Italy,Emilia Romania,750ml,Sparkling,100% Pignoletto,$19.00,MacArthur Wine,"Palisades, DC",
